id,round,teamId,serviceId,score,stolen,lost,attackerScore,victimScore
64034,210,24,1,56.22047591472955,0,1164,0,-4943.77952408527
64035,210,24,2,2192.747811573114,0,557,0,-2807.2521884268854
64036,210,24,3,1263.5163375579687,924,2636,8833.245972191982,-12569.729634634032
64040,210,24,4,5000,0,0,0,0
64037,210,24,5,3372.739825243986,1700,2418,18114.30823595202,-19741.568410708023
64038,210,24,6,0,0,4129,0,-4999.999999999978
64039,210,24,7,2164.4375870625877,0,545,0,-2835.5624129374105
64041,210,25,0,5000,0,0,0,0
64045,210,25,1,16237.890971863171,2990,49,11805.078624946696,-567.1876530835052
64043,210,25,2,3176.162321763577,0,225,0,-1823.8376782364217
64042,210,25,3,13056.00273204223,2292,105,10076.768132674719,-2020.7654006325129
64044,210,25,4,5000,0,0,0,0
64046,210,25,5,12306.632909750375,2899,338,13521.554380388248,-6214.921470637841
64047,210,25,6,11177.102909522842,3545,591,16270.344543892168,-10093.24163436932
64048,210,25,7,13621.978268566847,1828,269,11764.175179983273,-3142.196911416422
64050,210,26,0,4636.206800071623,0,45,0,-363.7931999283785
64049,210,26,1,75.32600808272426,0,1142,0,-4924.673991917286
64051,210,26,2,2252.729177798313,0,543,0,-2747.270822201683
64055,210,26,3,6218.3251152682,2115,731,10455.542080843186,-9237.21696557501
64053,210,26,4,5000,0,0,0,0
64054,210,26,5,5415.995676753276,2284,1742,18540.4811239352,-18124.48544718191
64052,210,26,6,1078.2021816972717,2020,3775,22019.613941684845,-25941.411759987503
64056,210,26,7,11005.603511989942,1489,483,11273.283911098379,-5267.680399108458
64057,210,27,0,4602.739747966344,0,47,0,-397.26025203365754
64058,210,27,1,11983.253520923561,1347,15,7187.310510312353,-204.05698938879732
64060,210,27,2,4716.789903070665,64,131,766.0811863167406,-1049.291283246083
64059,210,27,3,8240.641937621249,1506,319,7365.594370085009,-4124.952432463785
64061,210,27,4,5000,0,0,0,0
64063,210,27,5,5146.858252107699,1491,1025,10074.720757208484,-9927.862505100777
64064,210,27,6,10614.73085417108,2885,656,15453.189604651117,-9838.458750480033
64065,210,27,7,19857.051697829014,3679,7,15059.519790025182,-202.46809219611146
64062,210,28,0,4651.986840813396,0,44,0,-348.01315918660504
64066,210,28,1,29.07673944295797,0,1166,0,-4970.92326055705
64070,210,28,2,3649.9107649639386,86,547,1398.9882738143497,-2749.077508850412
64067,210,28,3,1673.6889936851537,368,2774,3779.456385955252,-7105.767392270119
64069,210,28,4,5000,0,0,0,0
64068,210,28,5,7570.924348521938,1585,956,9612.815444224634,-7041.8910957027
64071,210,28,6,795.8170438756987,493,3548,5397.7364077132515,-9601.919363837551
64072,210,28,7,2233.3709600484904,0,539,0,-2766.6290399515133
64073,210,29,0,4826.480558233516,11,44,187.3829792489294,-360.9024210154142
64074,210,29,1,16979.92828017783,3223,30,12499.743497413037,-519.8152172351796
64075,210,29,2,3043.5289922444663,0,296,0,-1956.4710077555333
64076,210,29,3,9075.469485932344,1461,56,4852.072041297409,-776.6025553650835
64077,210,29,4,5000,0,0,0,0
64078,210,29,5,16610.448452641846,3435,151,14836.939445113325,-3226.490992471482
64079,210,29,6,14734.528688522681,3071,96,11083.237441775142,-1348.708753252506
64080,210,29,7,3748.473107011139,0,177,0,-1251.5268929888628
64081,210,30,0,4800.722235304816,9,43,149.54210024561004,-348.81986494079484
64082,210,30,1,229.00288233942155,0,1125,0,-4770.997117660582
64083,210,30,2,2135.3355946287306,0,581,0,-2864.6644053712666
64084,210,30,3,7697.648436567458,1366,237,4864.5607380183355,-2166.9123014508828
