round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
50,APT-Finals-2,0,0,,
50,Diese-2,0,0,,
50,CookingNonna,0,0,,
50,Diese-1,19,30,20,2024-10-10T09:02:01.279Z
50,duogesto,27,23,11,2024-10-10T09:03:16.013Z
50,fonograph,14,31,20,2024-10-10T09:19:01.906Z
50,Sanromolo,0,0,,
51,APT-Finals-1,0,0,,
51,APT-Finals-2,0,0,,
51,Diese-2,0,0,,
51,Diese-1,17,31,20,2024-10-10T09:02:01.279Z
51,CookingNonna,0,0,,
51,duogesto,27,22,11,2024-10-10T09:03:16.013Z
51,Sanromolo,0,0,,
51,fonograph,14,31,20,2024-10-10T09:19:01.906Z
52,APT-Finals-1,0,0,,
52,Diese-2,0,0,,
52,CookingNonna,0,0,,
52,Diese-1,19,29,20,2024-10-10T09:02:01.279Z
52,APT-Finals-2,0,0,,
52,duogesto,29,24,11,2024-10-10T09:03:16.013Z
52,fonograph,14,31,20,2024-10-10T09:19:01.906Z
52,Sanromolo,0,0,,
53,APT-Finals-1,0,0,,
53,APT-Finals-2,0,0,,
53,Diese-2,0,0,,
53,CookingNonna,0,0,,
53,Diese-1,19,26,20,2024-10-10T09:02:01.279Z
53,duogesto,29,23,11,2024-10-10T09:03:16.013Z
53,fonograph,14,31,20,2024-10-10T09:19:01.906Z
53,Sanromolo,0,0,,
54,APT-Finals-1,0,0,,
54,Diese-1,23,27,20,2024-10-10T09:02:01.279Z
54,APT-Finals-2,0,0,,
54,Diese-2,0,0,,
54,CookingNonna,0,0,,
54,duogesto,29,22,11,2024-10-10T09:03:16.013Z
54,fonograph,16,31,20,2024-10-10T09:19:01.906Z
54,Sanromolo,0,0,,
55,APT-Finals-1,0,0,,
55,APT-Finals-2,0,0,,
55,CookingNonna,0,0,,
55,Diese-1,16,26,20,2024-10-10T09:02:01.279Z
55,Diese-2,0,0,,
55,duogesto,22,21,11,2024-10-10T09:03:16.013Z
55,fonograph,14,30,20,2024-10-10T09:19:01.906Z
55,Sanromolo,0,0,,
56,APT-Finals-1,0,0,,
56,APT-Finals-2,0,0,,
56,Diese-1,2,20,20,2024-10-10T09:02:01.279Z
56,CookingNonna,0,0,,
56,Diese-2,0,0,,
56,duogesto,1,14,11,2024-10-10T09:03:16.013Z
56,fonograph,3,30,20,2024-10-10T09:19:01.906Z
56,Sanromolo,0,0,,
57,APT-Finals-1,0,0,,
57,CookingNonna,0,0,,
57,APT-Finals-2,0,0,,
57,Diese-1,1,13,20,2024-10-10T09:02:01.279Z
57,Diese-2,0,0,,
57,duogesto,2,8,11,2024-10-10T09:03:16.013Z
57,fonograph,2,21,20,2024-10-10T09:19:01.906Z
57,Sanromolo,0,0,,
58,APT-Finals-1,0,0,,
58,APT-Finals-2,0,0,,
58,CookingNonna,0,0,,
58,Diese-2,0,0,,
58,Diese-1,0,0,20,2024-10-10T09:02:01.279Z
58,duogesto,2,3,11,2024-10-10T09:03:16.013Z
58,fonograph,1,3,20,2024-10-10T09:19:01.906Z
58,Sanromolo,0,0,,
59,CookingNonna,0,0,,
59,APT-Finals-2,0,0,,
59,APT-Finals-1,0,0,,
59,Diese-1,11,19,20,2024-10-10T09:02:01.279Z
59,Diese-2,0,0,,
59,duogesto,12,29,11,2024-10-10T09:03:16.013Z
59,fonograph,1,28,20,2024-10-10T09:19:01.906Z
59,Sanromolo,0,0,,
60,APT-Finals-1,0,0,,
60,APT-Finals-2,0,0,,
60,CookingNonna,0,0,,
60,Diese-2,0,0,,
60,Diese-1,7,22,20,2024-10-10T09:02:01.279Z
60,duogesto,7,14,11,2024-10-10T09:03:16.013Z
60,fonograph,6,31,20,2024-10-10T09:19:01.906Z
60,Sanromolo,0,0,,
61,APT-Finals-1,0,0,,
61,APT-Finals-2,0,0,,
61,Diese-2,0,0,,
61,CookingNonna,0,0,,
61,Diese-1,18,24,20,2024-10-10T09:02:01.279Z
61,duogesto,30,33,11,2024-10-10T09:03:16.013Z
61,fonograph,15,34,20,2024-10-10T09:19:01.906Z
61,Sanromolo,0,0,,
62,APT-Finals-1,0,0,,
62,APT-Finals-2,0,0,,
62,CookingNonna,0,0,,
62,Diese-1,21,23,20,2024-10-10T09:02:01.279Z
62,Diese-2,0,0,,
